Fecha_Nacimiento;Edad_Cliente;Nombre_Agente;POLIZA_AUTOS;POLIZA_SOAT;POLIZA_VIDAINDIVIDUAL;POLIZA_SALUD;POLIZA_HOGAR;POLIZA_VIDAGRUPO;POLIZA_MASVIDA;POLIZA_ACCIDENTESPERSONALES;POLIZA_CUMPLIMIENTO;POLIZA_INCENDIO;POLIZA_JUVENIL;POLIZA_EXEQUIAL
3/10/1992;26;AGENCIA DE SEGUROS Y MEDICINA PREPAGADA VENSALUD LTDA;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;NO;NO
1/01/1970;49;JARDINE LLOYD THOMPSON VALENCIA & IRAGORRI CORREDORES DE SEGUROS S.A.;NO;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO
8/06/1968;50;SERVICIOS FINANCIEROS S.A. SERFINANSA COMPAÑIA DE FINANCIAMIENTO;NO;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO
21/01/1953;66;AON RISK SERVICES COLOMBIA S.A.;NO;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO
14/06/1954;64;WILLIS TOWERS WATSON COLOMBIA CORREDORES DE SEGUROS SA;SI;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO
12/07/1984;34;Sin Información;NO;NO;SI;NO;NO;NO;SI;NO;NO;NO;NO;SI
18/11/1994;24;ORFESEG LIMITADA ASESORES DE SEGUROS;NO;NO;NO;NO;NO;SI;NO;SI;NO;NO;NO;NO
14/08/1994;24;WILLIS TOWERS WATSON COLOMBIA CORREDORES DE SEGUROS SA;NO;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO
17/08/1984;34;SEGUROS GENERALES SURAMERICANA S.A.;NO;SI;NO;NO;NO;NO;NO;SI;NO;NO;NO;NO
13/01/1983;36;AON RISK SERVICES COLOMBIA S.A.;NO;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO
4/05/1985;33;SEGUROS GENERALES SURAMERICANA S.A.;NO;NO;SI;NO;NO;NO;NO;NO;NO;NO;NO;NO
31/12/1991;27;PREMIUM COLOMBIA LTDA ASESORES DE SEGUROS;NO;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO
15/07/1947;71;Sin Información;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
17/04/1950;68;CONTACTO DIRECTO ASESORES EN SEGUROS LTDA;NO;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO
28/06/1958;60;DELIMA MARSH S.A. LOS CORREDORES DE SEGUROS;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;SI
27/11/1963;55;SERVICIOS FINANCIEROS S.A. SERFINANSA COMPAÑIA DE FINANCIAMIENTO;NO;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO
13/05/1980;38;SEGUROS GENERALES SURAMERICANA S.A.;NO;NO;SI;NO;NO;NO;NO;NO;NO;NO;NO;NO
25/02/1991;27;VELASCO HENAO  FRANCISCO JOSE;NO;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO
23/09/1977;41;Sin Información;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;NO;NO
2/06/1982;36;ASESORIAS INTEGRALES FUERTE SEGUROS LTDA;NO;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO
14/06/1985;33;SEGUROS GENERALES SURAMERICANA S.A.;NO;NO;NO;NO;NO;NO;NO;SI;NO;NO;NO;NO
26/11/1970;48;SEGUROS GENERALES SURAMERICANA S.A.;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;SI
16/01/1991;28;AON RISK SERVICES COLOMBIA S.A.;NO;NO;NO;NO;NO;SI;NO;SI;NO;NO;NO;NO
5/11/1979;39;AON RISK SERVICES COLOMBIA S.A.;NO;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO
5/05/1970;48;CORREA MEJIA  JULIANA;SI;NO;SI;NO;NO;NO;NO;NO;NO;NO;NO;NO
16/02/1979;39;SEGUROS GENERALES SURAMERICANA S.A.;NO;SI;SI;NO;NO;NO;NO;NO;NO;NO;NO;NO
16/05/1965;53;SEGUROS GENERALES SURAMERICANA S.A.;NO;NO;SI;NO;NO;NO;NO;NO;NO;NO;NO;NO
26/05/1962;56;WILLIS TOWERS WATSON COLOMBIA CORREDORES DE SEGUROS SA;NO;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO
21/01/2020;-1;HOWDEN WACOLDA S.A. CORREDORES DE SEGUROS;NO;NO;NO;NO;NO;NO;NO;NO;SI;NO;NO;NO
9/05/1951;67;Sin Información;NO;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO
28/02/1960;58;SUPERNOVA SEGUROS LTDA;NO;NO;NO;NO;NO;SI;NO;SI;NO;NO;NO;NO
7/05/1990;28;Sin Información;NO;NO;NO;NO;NO;NO;NO;SI;NO;NO;NO;NO
23/07/1963;55;SEGUROS GENERALES SURAMERICANA S.A.;NO;SI;SI;NO;NO;NO;NO;NO;NO;NO;NO;NO
27/02/1982;36;WILLIS TOWERS WATSON COLOMBIA CORREDORES DE SEGUROS SA;NO;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO
28/01/1993;25;SEGUROS GENERALES SURAMERICANA S.A.;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
21/01/2020;-1;COMERCIAL COLOMBIANA LTDA AGENCIA DE SEGUROS;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;SI;NO
1/01/1974;45;SEGUROS GENERALES SURAMERICANA S.A.;NO;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO
20/06/1986;32;WILLIS TOWERS WATSON COLOMBIA CORREDORES DE SEGUROS SA;NO;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO
21/01/2020;-1;SEGUROS GENERALES SURAMERICANA S.A.;NO;SI;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
29/08/1986;32;ASEKURA AGENCIA DE SEGU;SI;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
9/02/1981;37;HURTADO PEREZ  LEON JAIME;NO;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO
5/08/1991;27;SERVICIOS FINANCIEROS S.A. SERFINANSA COMPAÑIA DE FINANCIAMIENTO;NO;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO
25/09/1969;49;ANTIOQUEÑA DE AUTOMOTORES Y REPUESTOS S.A.;NO;SI;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
3/12/1970;48;AON RISK SERVICES COLOMBIA S.A.;NO;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO
26/03/1977;41;SEGUROS GENERALES SURAMERICANA S.A.;NO;NO;NO;NO;NO;SI;NO;SI;NO;NO;NO;NO
21/01/2020;-1;COMERCIAL COLOMBIANA LTDA AGENCIA DE SEGUROS;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;SI;NO
4/12/1955;63;AON RISK SERVICES COLOMBIA S.A.;SI;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
12/11/1987;31;WILLIS TOWERS WATSON COLOMBIA CORREDORES DE SEGUROS SA;NO;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO
15/08/1957;61;WILLIS TOWERS WATSON COLOMBIA CORREDORES DE SEGUROS SA;NO;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO
3/03/1970;48;CORRECOL CORREDORES COLOMBIANOS DE SEGUROS -PUDIEN;SI;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;NO
21/01/2020;-1;SEGURHOY LTDA. PROMOT. DE SEG.;NO;NO;NO;NO;NO;NO;NO;NO;SI;NO;NO;NO
18/10/1989;29;SEGUROS GENERALES SURAMERICANA S.A.;NO;NO;NO;NO;NO;NO;NO;SI;NO;NO;NO;NO
18/08/1985;33;SEGUROS GENERALES SURAMERICANA S.A.;NO;NO;SI;NO;NO;NO;NO;NO;NO;NO;NO;NO
21/01/2020;-1;COMERCIAL COLOMBIANA LTDA AGENCIA DE SEGUROS;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;SI;NO
6/12/1976;42;S M ASESORES EN SEGUROS Y CIA LTDA;NO;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO
23/08/1974;44;DIAZ ESPINOSA  FABIO ANDRES;NO;NO;NO;NO;NO;NO;NO;SI;NO;NO;NO;NO
22/06/1990;28;WILLIS TOWERS WATSON COLOMBIA CORREDORES DE SEGUROS SA;NO;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO
20/04/1961;57;SEGUROS GENERALES SURAMERICANA S.A.;NO;NO;SI;NO;NO;NO;NO;NO;NO;NO;NO;NO
10/10/1987;31;Sin Información;NO;NO;SI;NO;NO;NO;SI;NO;NO;NO;NO;SI
11/04/1982;36;GRUPO COOGRANADA ASESORESEN SEGUROS LTDA;NO;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO
5/06/1973;45;SEGUROS DE VIDA SURAMERICANA S.A.;SI;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
28/09/1986;32;WILLIS TOWERS WATSON COLOMBIA CORREDORES DE SEGUROS SA;NO;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO
23/07/1963;55;SEGUROS GENERALES SURAMERICANA S.A.;NO;SI;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
24/09/1976;42;Sin Información;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
27/12/1970;48;Sin Información;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
15/04/1975;43;AON RISK SERVICES COLOMBIA S.A.;NO;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO
21/01/2020;-1;COMERCIAL COLOMBIANA LTDA AGENCIA DE SEGUROS;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;SI;NO
21/02/1961;57;ALVAREZ ARDILA  LUIS CARLOS;NO;NO;NO;NO;NO;SI;NO;SI;NO;NO;NO;NO
10/07/2018;0;IDEAR SEGUROS LTDA;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;NO;NO
21/01/2020;-1;DELIMA MARSH S.A. LOS CORREDORES DE SEGUROS;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;SI;NO
5/12/1956;62;SEGUROS GENERALES SURAMERICANA S.A.;NO;NO;SI;NO;NO;NO;NO;NO;NO;NO;NO;NO
22/12/1948;70;WILLIS TOWERS WATSON COLOMBIA CORREDORES DE SEGUROS SA;NO;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO
11/11/1987;31;WILLIS TOWERS WATSON COLOMBIA CORREDORES DE SEGUROS SA;NO;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO
21/01/2020;-1;ITAU CORREDOR DE SEGUROS COLOMBIA S.A;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;SI;NO
8/06/1982;36;SEGUROS GENERALES SURAMERICANA S.A.;NO;SI;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
7/10/1967;51;WILLIS TOWERS WATSON COLOMBIA CORREDORES DE SEGUROS SA;NO;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO
27/05/1995;23;SEGUROS GENERALES SURAMERICANA S.A.;NO;SI;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
9/04/1963;55;Sin Información;NO;NO;NO;NO;NO;NO;NO;SI;NO;NO;NO;NO
5/12/1974;44;CAUSIL MESTRA  BLANCA POLICARPA;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
21/01/2020;-1;SERVICIOS FINANCIEROS S.A. SERFINANSA COMPAÑIA DE FINANCIAMIENTO;NO;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO
15/08/1989;29;WILLIS TOWERS WATSON COLOMBIA CORREDORES DE SEGUROS SA;SI;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO
19/09/1982;36;WILLIS TOWERS WATSON COLOMBIA CORREDORES DE SEGUROS SA;SI;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
21/01/2020;-1;DELIMA MARSH S.A. LOS CORREDORES DE SEGUROS;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;SI;NO
9/07/1934;84;AON RISK SERVICES COLOMBIA S.A.;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;NO;NO
17/02/1978;40;WILLIS TOWERS WATSON COLOMBIA CORREDORES DE SEGUROS SA;NO;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO
4/08/1993;25;SEGUROS GENERALES SURAMERICANA S.A.;NO;NO;SI;NO;NO;NO;NO;NO;NO;NO;NO;NO
27/07/1968;50;REPRESENTACIONES Y ASESORIAS TCACHMAN Y CIA LIMITA;NO;NO;SI;NO;NO;NO;NO;NO;NO;NO;NO;NO
28/12/1993;25;SERVICIOS FINANCIEROS S.A. SERFINANSA COMPAÑIA DE FINANCIAMIENTO;NO;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO
1/05/1993;25;ESPITIA SILVA  DAVID CAMILO;NO;NO;NO;NO;NO;SI;NO;SI;NO;NO;NO;NO
27/10/1979;39;SEGUROS GENERALES SURAMERICANA S.A.;NO;NO;NO;NO;NO;SI;NO;SI;NO;NO;NO;NO
8/02/1995;23;SEGUROS GENERALES SURAMERICANA S.A.;NO;NO;SI;NO;NO;NO;NO;NO;NO;NO;NO;NO
9/09/1984;34;C R CONSULTORES DE SEGUROS LIMI;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;NO;NO
15/07/1954;64;AON RISK SERVICES COLOMBIA S.A.;NO;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO
23/06/1960;58;JARDINE LLOYD THOMPSON VALENCIA & IRAGORRI CORREDORES DE SEGUROS S.A.;NO;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO
1/05/1960;58;SERVICIOS FINANCIEROS S.A. SERFINANSA COMPAÑIA DE FINANCIAMIENTO;NO;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO
12/04/1995;23;AON RISK SERVICES COLOMBIA S.A.;NO;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO
1/10/1979;39;BAUTISTA GUEVARA  HELMER BAUTISTA;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
18/08/1966;52;COOMEVA CORREDORES DE SEGUROS S.A.;NO;NO;NO;NO;NO;NO;NO;SI;NO;NO;NO;NO
28/10/1992;26;SEGUROS GENERALES SURAMERICANA S.A.;NO;NO;SI;NO;NO;NO;NO;NO;NO;NO;NO;NO
23/04/1966;52;PLAZAS MOLINA PROMOTORES DE SEGUROS LTDA;NO;NO;NO;NO;NO;SI;NO;SI;NO;NO;NO;NO
17/09/1980;38;SERVICIOS FINANCIEROS S.A. SERFINANSA COMPAÑIA DE FINANCIAMIENTO;NO;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO
3/06/1986;32;COOPROSEGUROS AGENCIA DE SEGUROS LTDA;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;NO;NO
15/06/1966;52;AON RISK SERVICES COLOMBIA S.A.;NO;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO
5/05/1953;65;MORALES PEÑA  LORENA CRISTINA;NO;NO;NO;NO;NO;NO;NO;SI;NO;NO;NO;NO
19/07/1994;24;WILLIS TOWERS WATSON COLOMBIA CORREDORES DE SEGUROS SA;SI;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO
23/12/1941;77;GRUPO COOGRANADA ASESORESEN SEGUROS LTDA;NO;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO
15/12/1972;46;WILLIS TOWERS WATSON COLOMBIA CORREDORES DE SEGUROS SA;NO;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO
8/09/1982;36;A&S ASESORES DE SEGUROS LTDA;NO;NO;NO;NO;NO;SI;NO;SI;NO;NO;NO;NO
21/01/2020;-1;COMERCIAL COLOMBIANA LTDA AGENCIA DE SEGUROS;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;SI;NO
2/04/1975;43;WILLIS TOWERS WATSON COLOMBIA CORREDORES DE SEGUROS SA;SI;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
21/01/2020;-1;SUSANA VICTORIA BOTELLO CARLUCCI;SI;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
1/01/1988;31;PIZZA SANTOS  JULIAN YESID;NO;NO;NO;NO;NO;NO;NO;SI;NO;NO;NO;NO
24/01/1967;51;WILLIS TOWERS WATSON COLOMBIA CORREDORES DE SEGUROS SA;NO;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO
3/12/1967;51;ACDAC AGENCIA DE SEGUROS LTDA;SI;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
20/01/1965;54;WILLIS TOWERS WATSON COLOMBIA CORREDORES DE SEGUROS SA;NO;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO
15/10/1965;53;ARTHUR J GALLAGHER CORREDORES DE SEGUROS SA;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
11/12/1974;44;SEGUROS GENERALES SURAMERICANA S.A.;NO;SI;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
19/01/1976;43;WILLIS TOWERS WATSON COLOMBIA CORREDORES DE SEGUROS SA;NO;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO
25/12/1973;45;SEGUROS GENERALES SURAMERICANA S.A.;NO;SI;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
20/03/1991;27;A&S ASESORES DE SEGUROS LTDA;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
25/04/1960;58;Sin Información;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
21/01/2020;-1;ITAU CORREDOR DE SEGUROS COLOMBIA S.A;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;SI;NO
18/01/1958;61;SEGUROS GENERALES SURAMERICANA S.A.;NO;NO;SI;NO;NO;NO;NO;NO;NO;NO;NO;NO
28/03/1965;53;WILLIS TOWERS WATSON COLOMBIA CORREDORES DE SEGUROS SA;NO;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO
23/11/1959;59;Sin Información;NO;NO;NO;NO;NO;NO;NO;SI;NO;NO;NO;NO
2/10/1971;47;WILLIS TOWERS WATSON COLOMBIA CORREDORES DE SEGUROS SA;NO;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO
6/08/1984;34;RODRIGUEZ LOPEZ  FREDY GEOVANNI;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
21/01/2020;-1;COMERCIAL COLOMBIANA LTDA AGENCIA DE SEGUROS;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;SI;NO
13/11/1959;59;MATRICULAR S.A.S;NO;SI;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
9/06/1984;34;SEGUROS GENERALES SURAMERICANA S.A.;NO;NO;SI;NO;NO;NO;NO;NO;NO;NO;NO;NO
7/05/1987;31;COOPROSEGUROS AGENCIA DE SEGUROS LTDA;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO;NO;NO
14/09/1977;41;AGENCIA DE SEGU ROS R&V LTDA.;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
2/03/1968;50;DELIMA MARSH S.A. LOS CORREDORES DE SEGUROS;SI;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
5/12/1985;33;SEGUROS GENERALES SURAMERICANA S.A.;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
1/01/1992;27;SEGUROS GENERALES SURAMERICANA S.A.;NO;SI;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
15/05/1967;51;SEGUROS GENERALES SURAMERICANA S.A.;NO;SI;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
25/01/1977;41;RINCON SIERRA  CARLOS ORLANDO;NO;NO;NO;NO;NO;NO;NO;SI;NO;NO;NO;NO
10/08/1978;40;SEGUROS GENERALES SURAMERICANA S.A.;NO;NO;SI;NO;NO;NO;NO;NO;NO;NO;NO;NO
15/09/1999;19;GUTIERREZ ANGEL  ADRIANA;NO;NO;NO;NO;NO;SI;NO;SI;NO;NO;NO;NO
3/05/1987;31;WILLIS TOWERS WATSON COLOMBIA CORREDORES DE SEGUROS SA;NO;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO
21/01/2020;-1;SEGUROS GENERALES SURAMERICANA S.A.;NO;SI;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
13/04/1993;25;SEGUROS GENERALES SURAMERICANA S.A.;NO;SI;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
26/09/1984;34;SEGUROS GENERALES SURAMERICANA S.A.;NO;NO;SI;NO;NO;NO;NO;NO;NO;NO;NO;NO
21/11/1970;48;COLOM RIERA  FRANCISCO JOSE;NO;NO;NO;NO;NO;SI;NO;SI;NO;NO;NO;NO
13/09/1977;41;LOPEZ DIAZ  JACKELINE;NO;NO;SI;NO;NO;NO;NO;NO;NO;NO;NO;NO
17/01/1970;49;BERNAL LOZANO  JANETH;NO;NO;NO;NO;NO;SI;NO;NO;NO;NO;NO;NO
21/01/2020;-1;COOPROSEGUROS AGENCIA DE SEGUROS LTDA;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;SI;NO
21/01/2020;-1;SEGUROS GENERALES SURAMERICANA S.A.;NO;SI;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
18/02/1966;52;MORAN LARA, BORIS FELIPE;SI;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
