;sexo;tipo_de_emprendimiento;idea_negocio;barrio;estrato;comuna_ciudadano;fecha_de_beneficio;monto_del_credito;línea_credito
0;masculino;servicio;peluqueria;santa cruz;1;2.0;28/03/2017;3500000;microempresarial
1;femenino;industria;fabrica de ;robledo;3;;2018/07/19;7800000;microempresarial
2;masculino;comercio;fabrica de ;la milagrosa;3;9.0;22/08/2018;7000000;microempresarial
3;masculino;industria;fabrica de ;manrique central no. 2;2;3.0;15/02/2016;2000000;microempresarial
4;femenino;industria;fabrica de ;andaluc¿a;02;;6/02/2016;6800000;microempresarial
5;femenino;comercio;tienda;moravia;2;4.0;7/05/2018;1000000;microempresarial
6;femenino;comercio;almacen de ropa en ;santa cruz;2;2.0;2/10/2017;2000000;microempresarial
7;femenino;comercio;comidas rapidas;villa niza;2;2.0;14/08/2018;5000000;microempresarial
8;femenino;comercio;almacen de ropa en ;la francia;2;2.0;9/10/2017;7377000;microempresarial
9;femenino;comercio;tienda;la sierra;1;8.0;18/10/2018;4000000;microempresarial
10;femenino;servicio;mantenimiento en ;popular;2;1.0;20/12/2016;6800000;microempresarial
11;masculino;industria;fabrica de ;santa rosa de lima;2;13.0;6/03/2017;5000000;microempresarial
12;femenino;comercio;legumbreria;santander;2;6.0;22/10/2018;7800000;microempresarial
13;femenino;comercio;comidas rapidas;manrique central no. 2;2;3.0;10/12/2018;$ 1,200,000.00;microempresarial
14;femenino;industria;fabrica de ;la francia;2;2.0;14/09/2018;4500000;microempresarial
15;femenino;servicio;peluqueria;moravia;1;4.0;2017/02/16;4000000;microempresarial
16;femenino;comercio;papeleria;cabecera san cristobal;2;60.0;1/12/2016;5000000;microempresarial
17;masculino;comercio;comidas rapidas;manrique oriental;2;3.0;23/08/2017;7377000;microempresarial
18;masculino;comercio;restaurante;belen;3;16.0;18/11/2016;6890000;microempresarial
19;masculino;comercio;floristeria;francisco antonio zea;3;5.0;10/08/2018;5000000;microempresarial
20;femenino;industria;fabrica de ;centro admtivo;3;10.0;20/04/2017;6000000;microempresarial
21;femenino;comercio;tienda;castilla;3;5.0;12/07/2017;7000000;microempresarial
22;femenino;industria;FABRICA DE ;belen;3;16.0;2/06/2017;7377000;microempresarial
23;femenino;comercio;almacen de ropa en ;belen;3;16.0;21/11/2018;4500000;microempresarial
24;femenino;industria;fabrica de ;cabecera san antonio ;3;80.0;22/05/2018;4700000;microempresarial
25;masculino;industria;fabrica de ;florencia;3;5.0;13/09/2017;4000000;microempresarial
26;femenino;COMERCIO;almacen de ropa en ;robledo;2;7.0;3/07/2018;4000000;microempresarial
27;masculino;industria;floristeria;cabecera san cristobal;2;60.0;12/10/2017;7300000;microempresarial
28;masculino;industria;fabrica de alimentos;castilla;3;5.0;11/02/2019;5400000;microempresarial
29;femenino;comercio;tienda;picacho;1;6.0;10/11/2016;6890000;microempresarial
30;femenino;industria;fabrica de ;cabecera san cristobal;2;60.0;19/09/2017;7000000;microempresarial
31;femenino;comercio;variedades;andalucia;2;2.0;25/05/2018;4000000;microempresarial
32;masculino;servicio;organización y ;belen;2;16.0;31/10/2018;7500000;microempresarial
33;femenino;servicio;gimnasio;cabecera san cristobal;3;60.0;29/11/2016;6000000;microempresarial
34;femenino;comercio;tienda de helados;zona expansion san ;2;80.0;28/06/2018;2700000;microempresarial
35;femenino;industria;fabrica-de-;san pablo;2;1.0;6/07/2018;4000000;microempresarial
36;femenino;comercio;almacen de ropa en ;manrique oriental;2;3.0;17/01/2018;7800000;microempresarial
37;femenino;comercio;comidas rapidas;campo valdes no. 1;3;4.0;28/06/2017;7370000;microempresarial
38;femenino;comercio;mantenimiento en ;cabecera san antonio ;3;80.0;22/06/2017;2000000;microempresarial
39;femenino;servicio;peluqueria;campo valdes no. 1;2;4.0;5/07/2018;7800000;microempresarial
40;femenino;comercio;almacen de ropa en ;belen;3;16.0;6/10/2017;4000000;microempresarial
41;femenino;servicio;mantenimiento-en-;robledo;3;7.0;25/04/2016;4000000;microempresarial
42;femenino;industria;fabrica de ;buenos aires;2;9.0;13/03/2018;2500000;microempresarial
43;femenino;industria;fabrica de alimentos;boston;3;10.0;13/10/2016;15000000;juridica y cap.semilla
44;femenino;servicio;tienda;buenos aires;1;9.0;23/05/2017;7377000;microempresarial
45;femenino;industria;fabrica de ;buenos aires;3;9.0;11/03/2019;8000000;microempresarial
46;masculino;servicio;barberia;manrique oriental;2;3.0;18/01/2019;6000000;microempresarial
47;femenino;industria;fabrica de ;san javier no.1;2;13.0;7/03/2017;7370000;microempresarial
48;femenino;industria;fabrica de ;doce de octubre no.1;2;6.0;28/10/2016;6000000;microempresarial
49;femenino;comercio;tienda;enciso;02;8.0;12/09/2016;6890000;microempresarial
50;masculino;comercio;publicidad y ;buenos aires;3;9.0;31/10/2016;5500000;microempresarial
51;masculino;comercio;variedades;aranjuez;3;4.0;11/03/2016;6890000;microempresarial
52;femenino;comercio;variedades;santo domingo savio ;1;1.0;7/12/2016;5000000;microempresarial
53;femenino;comercio;variedades;manrique central no. 1;1;4.0;5/03/2018;7000000;microempresarial
54;femenino;comercio;tienda;aranjuez;2;4.0;9/09/2016;1500000;microempresarial
55;femenino;servicio;peluqueria;castilla;3;5.0;22/09/2017;2500000;microempresarial
56;masculino;industria;fabrica de ;robledo;3;7.0;12/10/2017;7370000;microempresarial
57;femenino;comercio;variedades;villatina;2;8.0;30/05/2018;7000000;microempresarial
58;masculino;comercio;comidas rapidas;bombona no. 1;3;10.0;27/06/2017;2500000;microempresarial
59;masculino;industria;mantenimiento en ;manrique central no. 1;3;4.0;22/05/2018;5000000;microempresarial
60;masculino;comercio;tienda;aranjuez;3;4.0;9/04/2018;7800000;microempresarial
61;femenino;servicio;fabrica de ;robledo;2;7.0;2018/04/20;7000000;microempresarial
62;femenino;comercio;cafe e internet;belen;3;16.0;27/01/2017;30000000;empresarial ed. 
63;femenino;comercio;tienda;santa elena central;3;90.0;2016/04/18;6890000;microempresarial
64;femenino;comercio;papeleria;el rodeo;3;15.0;7/04/2017;232313;microempresarial
65;femenino;comercio;almacen de ropa en ;manrique central no. 1;1;4.0;24/10/2017;7000000;microempresarial
66;femenino;comercio;comidas rapidas;cabecera san cristobal;2;60.0;5/09/2018;4000000;microempresarial
67;masculino;comercio;almacen de ropa en ;popular;1;1.0;18/10/2018;7800000;microempresarial
68;masculino;industria;fabrica-de-calzado;cabecera san antonio ;2;60.0;11/10/2018;6000000;microempresarial
69;femenino;comercio;variedades;barrio caicedo;1;9.0;6/07/2017;7000000;microempresarial
70;femenino;comercio;comidas rapidas;belen;3;16.0;29/09/2017;7300000;microempresarial
71;masculino;industria;fabrica de alimentos;girardot;3;5.0;4/12/2018;5500000;microempresarial
