employee_id,gerencia,departamento,trayectoria,categoria,experiencia_tecnica_anios,salario_mensual_cop
E0001,Finanzas,Planeación financiera,Técnica,Especialista,9,9031472
E0002,Finanzas,Planeación financiera,Técnica,Especialista,8,8784782
E0003,Comercial,Clientes mayoristas,Técnica,Senior,14,13988237
E0004,Comercial,Clientes mayoristas,Directiva,Senior,15,15665175
E0005,Comercial,Clientes mayoristas,Técnica,Principal,25,20114861
E0006,Talento,Recursos humanos,Técnica,Profesional,5,5784265
E0007,Finanzas,Planeación financiera,Técnica,Especialista,9,9959436
E0008,Operaciones,Tecnología,Técnica,Especialista,5,9113545
E0009,Comercial,Clientes mayoristas,Técnica,Especialista,13,10756334
E0010,Finanzas,Tesorería,Directiva,Especialista,5,9454050
E0011,Comercial,Clientes mayoristas,Técnica,Profesional,6,7102996
E0012,Talento,Recursos humanos,Técnica,Principal,17,17626926
E0013,Talento,Recursos humanos,Técnica,Profesional,7,5906933
E0014,Finanzas,Planeación financiera,Directiva,Senior,13,15153798
E0015,Finanzas,Planeación financiera,Técnica,Senior,14,14175928
E0016,Finanzas,Tesorería,Técnica,Analista,2,2552199
E0017,Operaciones,Tecnología,Técnica,Especialista,5,8486063
E0018,Comercial,Clientes menores,Técnica,Senior,8,10991427
E0019,Finanzas,Tesorería,Técnica,Analista,6,3396677
E0020,Operaciones,Operaciones,Directiva,Senior,15,15101900
E0021,Comercial,Clientes menores,Técnica,Profesional,8,6015494
E0022,Operaciones,Tecnología,Técnica,Senior,10,13552998
E0023,Operaciones,Operaciones,Técnica,Profesional,9,6641528
E0024,Operaciones,Operaciones,Técnica,Especialista,11,10178362
E0025,Talento,Recursos humanos,Técnica,Especialista,10,8633816
E0026,Comercial,Clientes mayoristas,Técnica,Analista,0,3806331
E0027,Operaciones,Tecnología,Técnica,Profesional,6,6628235
E0028,Finanzas,Tesorería,Técnica,Analista,4,3763575
E0029,Comercial,Clientes menores,Técnica,Especialista,6,7793003
E0030,Operaciones,Operaciones,Técnica,Analista,4,4657875
E0031,Comercial,Clientes mayoristas,Técnica,Analista,1,4189518
E0032,Comercial,Clientes mayoristas,Directiva,Especialista,8,11159931
E0033,Operaciones,Operaciones,Directiva,Senior,15,15685759
E0034,Operaciones,Operaciones,Directiva,Profesional,16,10606182
E0035,Operaciones,Tecnología,Técnica,Senior,14,14300379
E0036,Talento,Recursos humanos,Técnica,Especialista,12,9414462
E0037,Operaciones,Operaciones,Técnica,Especialista,7,8945556
E0038,Comercial,Clientes mayoristas,Directiva,Senior,9,14185951
E0039,Comercial,Clientes mayoristas,Técnica,Profesional,6,6473296
E0040,Finanzas,Tesorería,Técnica,Senior,16,13220270
E0041,Finanzas,Tesorería,Técnica,Especialista,7,8073732
E0042,Finanzas,Tesorería,Técnica,Analista,6,3933977
E0043,Talento,Recursos humanos,Técnica,Principal,13,17364836
E0044,Comercial,Clientes menores,Directiva,Especialista,12,11148083
E0045,Operaciones,Operaciones,Técnica,Especialista,8,9216124
E0046,Finanzas,Tesorería,Técnica,Especialista,8,8935428
E0047,Talento,Recursos humanos,Técnica,Analista,2,3915603
E0048,Comercial,Clientes mayoristas,Técnica,Profesional,10,7083559
E0049,Operaciones,Operaciones,Técnica,Especialista,9,9796625
E0050,Finanzas,Tesorería,Técnica,Analista,3,3655352
E0051,Finanzas,Tesorería,Técnica,Especialista,10,8478646
E0052,Talento,Recursos humanos,Técnica,Profesional,7,6593868
E0053,Comercial,Clientes menores,Técnica,Senior,14,12502638
E0054,Talento,Recursos humanos,Técnica,Senior,8,12133154
E0055,Comercial,Clientes mayoristas,Técnica,Especialista,13,10342126
E0056,Finanzas,Tesorería,Técnica,Profesional,12,7472516
E0057,Operaciones,Operaciones,Técnica,Senior,10,12632632
E0058,Operaciones,Operaciones,Técnica,Senior,8,12415843
E0059,Operaciones,Tecnología,Técnica,Analista,7,6320683
E0060,Operaciones,Tecnología,Directiva,Principal,21,21360766
E0061,Talento,Recursos humanos,Técnica,Profesional,7,6990874
E0062,Finanzas,Planeación financiera,Técnica,Profesional,6,5988954
E0063,Operaciones,Tecnología,Técnica,Especialista,7,9033084
E0064,Finanzas,Tesorería,Técnica,Profesional,6,5265085
E0065,Operaciones,Operaciones,Técnica,Profesional,7,6880346
E0066,Finanzas,Tesorería,Técnica,Senior,11,12538039
E0067,Finanzas,Planeación financiera,Técnica,Senior,17,14162599
E0068,Finanzas,Tesorería,Técnica,Analista,4,3893810
E0069,Operaciones,Operaciones,Técnica,Profesional,5,6402698
E0070,Finanzas,Tesorería,Técnica,Profesional,16,8070037
E0071,Finanzas,Planeación financiera,Técnica,Principal,15,17576382
E0072,Finanzas,Tesorería,Técnica,Especialista,9,8719832
E0073,Comercial,Clientes mayoristas,Técnica,Senior,10,12981631
E0074,Finanzas,Planeación financiera,Técnica,Senior,12,12808615
E0075,Finanzas,Tesorería,Técnica,Profesional,3,5065801
E0076,Comercial,Clientes menores,Directiva,Especialista,9,10790022
E0077,Finanzas,Tesorería,Directiva,Senior,11,13631401
E0078,Talento,Recursos humanos,Técnica,Senior,13,12890844
E0079,Finanzas,Planeación financiera,Técnica,Profesional,4,6350597
E0080,Operaciones,Operaciones,Directiva,Principal,13,18760032
E0081,Finanzas,Tesorería,Técnica,Profesional,7,5315538
E0082,Operaciones,Operaciones,Técnica,Profesional,8,6869503
E0083,Comercial,Clientes mayoristas,Técnica,Profesional,7,7362324
E0084,Operaciones,Operaciones,Técnica,Analista,6,4418575
E0085,Operaciones,Tecnología,Técnica,Especialista,12,10366038
E0086,Operaciones,Tecnología,Directiva,Senior,13,15363580
E0087,Comercial,Clientes mayoristas,Técnica,Profesional,4,6445309
E0088,Comercial,Clientes mayoristas,Técnica,Especialista,5,8218370
E0089,Finanzas,Tesorería,Técnica,Especialista,7,8695341
E0090,Operaciones,Operaciones,Técnica,Especialista,9,9481048
E0091,Operaciones,Operaciones,Técnica,Especialista,17,10861391
E0092,Operaciones,Operaciones,Directiva,Principal,16,19834800
E0093,Comercial,Clientes mayoristas,Técnica,Profesional,10,7658352
E0094,Operaciones,Tecnología,Técnica,Analista,4,4772950
E0095,Comercial,Clientes mayoristas,Técnica,Senior,16,14124700
E0096,Comercial,Clientes mayoristas,Técnica,Profesional,5,6225598
E0097,Finanzas,Tesorería,Directiva,Senior,10,13130721
E0098,Finanzas,Tesorería,Técnica,Senior,15,12965109
E0099,Operaciones,Tecnología,Técnica,Profesional,5,6563401
E0100,Finanzas,Tesorería,Técnica,Analista,1,2544374
E0101,Finanzas,Tesorería,Técnica,Profesional,12,6561019
E0102,Comercial,Clientes menores,Técnica,Principal,19,17973452
E0103,Finanzas,Planeación financiera,Técnica,Analista,3,4551675
E0104,Operaciones,Operaciones,Técnica,Analista,1,3575400
E0105,Operaciones,Tecnología,Técnica,Especialista,12,10619698
E0106,Operaciones,Tecnología,Técnica,Especialista,9,10458756
E0107,Operaciones,Tecnología,Directiva,Principal,21,21437263
E0108,Finanzas,Tesorería,Directiva,Especialista,5,8741725
E0109,Finanzas,Planeación financiera,Técnica,Profesional,3,5960183
E0110,Comercial,Clientes mayoristas,Técnica,Especialista,12,10323103
E0111,Comercial,Clientes mayoristas,Técnica,Analista,7,5591564
E0112,Operaciones,Tecnología,Técnica,Especialista,7,9276083
E0113,Finanzas,Tesorería,Técnica,Profesional,11,6966857
E0114,Finanzas,Planeación financiera,Directiva,Senior,12,14305386
E0115,Operaciones,Operaciones,Técnica,Senior,10,11584838
E0116,Comercial,Clientes mayoristas,Directiva,Senior,12,14835528
E0117,Finanzas,Planeación financiera,Técnica,Especialista,13,10644775
E0118,Finanzas,Planeación financiera,Técnica,Especialista,5,8702721
E0119,Comercial,Clientes mayoristas,Técnica,Analista,4,4241292
E0120,Comercial,Clientes menores,Técnica,Senior,12,12314574
E0121,Finanzas,Tesorería,Técnica,Profesional,3,4787817
E0122,Operaciones,Tecnología,Técnica,Especialista,11,10427159
E0123,Operaciones,Operaciones,Técnica,Especialista,17,11119518
E0124,Finanzas,Planeación financiera,Directiva,Senior,11,14764159
E0125,Operaciones,Operaciones,Técnica,Profesional,3,4981612
E0126,Operaciones,Tecnología,Técnica,Profesional,6,6133289
E0127,Finanzas,Tesorería,Técnica,Profesional,7,5641182
E0128,Comercial,Clientes mayoristas,Técnica,Analista,4,4567606
E0129,Comercial,Clientes menores,Técnica,Especialista,5,8106781
E0130,Operaciones,Operaciones,Técnica,Senior,9,12445205
E0131,Comercial,Clientes menores,Directiva,Profesional,7,7538354
E0132,Finanzas,Planeación financiera,Técnica,Especialista,13,10544045
E0133,Operaciones,Tecnología,Técnica,Especialista,11,10881116
E0134,Comercial,Clientes menores,Técnica,Profesional,2,3962617
E0135,Operaciones,Operaciones,Técnica,Senior,11,12793943
E0136,Comercial,Clientes mayoristas,Técnica,Profesional,6,6421090
E0137,Operaciones,Tecnología,Directiva,Senior,19,17353049
E0138,Operaciones,Tecnología,Directiva,Principal,18,20397250
E0139,Talento,Recursos humanos,Directiva,Senior,12,15086836
E0140,Finanzas,Planeación financiera,Directiva,Profesional,9,8935199
E0141,Comercial,Clientes mayoristas,Técnica,Profesional,10,7654513
E0142,Operaciones,Operaciones,Técnica,Profesional,7,6340689
E0143,Operaciones,Operaciones,Técnica,Analista,8,5437032
E0144,Finanzas,Planeación financiera,Técnica,Analista,12,6996654
E0145,Finanzas,Planeación financiera,Técnica,Profesional,2,5551527
E0146,Finanzas,Tesorería,Técnica,Especialista,5,7212353
E0147,Operaciones,Operaciones,Técnica,Profesional,12,7955177
E0148,Comercial,Clientes mayoristas,Técnica,Analista,8,5656008
E0149,Operaciones,Operaciones,Técnica,Profesional,7,6197209
E0150,Operaciones,Tecnología,Directiva,Senior,10,14734848
E0151,Operaciones,Operaciones,Técnica,Senior,12,12848687
E0152,Operaciones,Operaciones,Técnica,Profesional,8,6793197
E0153,Comercial,Clientes mayoristas,Directiva,Senior,12,14645500
E0154,Finanzas,Planeación financiera,Técnica,Profesional,5,6611813
E0155,Comercial,Clientes mayoristas,Técnica,Especialista,16,11722435
E0156,Finanzas,Planeación financiera,Técnica,Principal,17,17939267
E0157,Comercial,Clientes mayoristas,Técnica,Principal,18,18348109
E0158,Operaciones,Tecnología,Técnica,Especialista,5,8922937
E0159,Operaciones,Operaciones,Técnica,Especialista,9,9311161
E0160,Comercial,Clientes mayoristas,Técnica,Analista,4,4417319
E0161,Comercial,Clientes menores,Directiva,Senior,14,14559018
E0162,Talento,Recursos humanos,Técnica,Profesional,2,5047368
E0163,Operaciones,Tecnología,Técnica,Profesional,6,7097058
E0164,Finanzas,Planeación financiera,Técnica,Profesional,10,7183770
E0165,Operaciones,Tecnología,Técnica,Especialista,5,8542066
E0166,Finanzas,Tesorería,Técnica,Profesional,10,6295717
E0167,Comercial,Clientes menores,Técnica,Senior,14,12563292
E0168,Talento,Recursos humanos,Técnica,Especialista,8,9097178
E0169,Comercial,Clientes menores,Técnica,Profesional,2,5200294
E0170,Finanzas,Planeación financiera,Directiva,Profesional,8,9462613
E0171,Operaciones,Tecnología,Técnica,Analista,2,4110589
E0172,Comercial,Clientes mayoristas,Técnica,Analista,4,4797192
E0173,Talento,Recursos humanos,Directiva,Senior,10,14444882
E0174,Talento,Recursos humanos,Técnica,Senior,13,12653687
E0175,Operaciones,Tecnología,Técnica,Senior,17,15385209
E0176,Comercial,Clientes menores,Técnica,Principal,16,16833503
E0177,Finanzas,Tesorería,Técnica,Principal,21,18112028
E0178,Operaciones,Tecnología,Técnica,Especialista,11,10073495
E0179,Talento,Recursos humanos,Directiva,Especialista,9,10895560
E0180,Operaciones,Operaciones,Técnica,Especialista,5,8093733
E0181,Finanzas,Planeación financiera,Técnica,Senior,17,14622466
E0182,Finanzas,Tesorería,Técnica,Principal,19,17934678
E0183,Operaciones,Tecnología,Técnica,Profesional,8,7522423
E0184,Comercial,Clientes menores,Técnica,Analista,2,3091115
E0185,Finanzas,Tesorería,Técnica,Analista,4,4237203
E0186,Operaciones,Tecnología,Directiva,Profesional,7,8542936
E0187,Comercial,Clientes mayoristas,Técnica,Analista,8,5695579
E0188,Finanzas,Tesorería,Técnica,Profesional,2,4194518
E0189,Operaciones,Operaciones,Técnica,Senior,12,13166874
E0190,Operaciones,Operaciones,Técnica,Profesional,11,7934722
E0191,Comercial,Clientes mayoristas,Directiva,Senior,10,14832644
E0192,Comercial,Clientes menores,Técnica,Principal,18,16820968
E0193,Comercial,Clientes menores,Directiva,Senior,18,15908814
E0194,Comercial,Clientes menores,Técnica,Profesional,12,7475857
E0195,Operaciones,Tecnología,Técnica,Especialista,5,8986071
E0196,Operaciones,Operaciones,Técnica,Senior,8,11635442
E0197,Finanzas,Tesorería,Técnica,Analista,2,3126724
E0198,Comercial,Clientes mayoristas,Técnica,Especialista,11,9963108
E0199,Talento,Recursos humanos,Técnica,Especialista,9,8959433
E0200,Operaciones,Tecnología,Técnica,Principal,15,18636587
E0201,Finanzas,Planeación financiera,Técnica,Especialista,11,9720731
E0202,Operaciones,Tecnología,Técnica,Profesional,6,7245103
E0203,Comercial,Clientes menores,Técnica,Senior,12,12771345
E0204,Comercial,Clientes mayoristas,Directiva,Principal,19,20260194
E0205,Operaciones,Tecnología,Técnica,Profesional,4,6074227
E0206,Operaciones,Operaciones,Técnica,Senior,9,12169444
E0207,Comercial,Clientes menores,Técnica,Profesional,9,5878774
E0208,Finanzas,Tesorería,Técnica,Analista,6,4458265
E0209,Finanzas,Planeación financiera,Técnica,Analista,8,6383082
E0210,Comercial,Clientes mayoristas,Técnica,Principal,16,19315114
E0211,Comercial,Clientes menores,Técnica,Profesional,5,5726213
E0212,Talento,Recursos humanos,Técnica,Analista,11,6138834
E0213,Operaciones,Operaciones,Técnica,Profesional,2,4972782
E0214,Talento,Recursos humanos,Técnica,Profesional,3,5567983
E0215,Comercial,Clientes mayoristas,Técnica,Especialista,10,9999040
E0216,Finanzas,Tesorería,Técnica,Profesional,9,6336213
E0217,Comercial,Clientes mayoristas,Técnica,Especialista,9,9641766
E0218,Operaciones,Operaciones,Directiva,Profesional,3,6873886
E0219,Finanzas,Tesorería,Técnica,Senior,8,11479200
E0220,Operaciones,Tecnología,Técnica,Senior,14,14686398
E0221,Talento,Recursos humanos,Técnica,Profesional,9,7099089
E0222,Comercial,Clientes mayoristas,Técnica,Profesional,2,5860387
E0223,Operaciones,Operaciones,Técnica,Especialista,9,8848933
E0224,Operaciones,Tecnología,Técnica,Senior,11,13200165
E0225,Comercial,Clientes mayoristas,Técnica,Especialista,7,8585229
E0226,Finanzas,Tesorería,Técnica,Analista,6,3800268
E0227,Comercial,Clientes mayoristas,Técnica,Principal,13,17484677
E0228,Operaciones,Operaciones,Técnica,Profesional,6,6312472
E0229,Comercial,Clientes mayoristas,Técnica,Profesional,2,4756409
E0230,Finanzas,Planeación financiera,Directiva,Principal,12,18931191
E0231,Talento,Recursos humanos,Técnica,Senior,11,12307035
E0232,Operaciones,Operaciones,Técnica,Profesional,9,6389884
E0233,Operaciones,Operaciones,Técnica,Profesional,5,5721101
E0234,Comercial,Clientes menores,Técnica,Profesional,5,5590311
E0235,Comercial,Clientes menores,Técnica,Profesional,4,5362223
E0236,Finanzas,Tesorería,Técnica,Profesional,5,5804690
E0237,Operaciones,Tecnología,Técnica,Especialista,8,8999989
E0238,Operaciones,Operaciones,Técnica,Principal,16,17124859
E0239,Operaciones,Tecnología,Técnica,Analista,6,5179802
E0240,Operaciones,Tecnología,Directiva,Senior,15,16747896
E0241,Operaciones,Operaciones,Técnica,Principal,15,17591979
