,confirmed_100k,max_active_100k,max_new_cases_100k,max_tasa_contagio,days_to_max_active,days_20_to_80
australia,29.09978877193428,17.47399224856241,1.0765253301177893,0.16019605875296075,30,19
austria,191.13604564440996,76.79579971455803,5.055815454353166,0.19884985180243706,31,26
chile,948.6959845486363,225.7347583636586,26.260544770502293,0.2591961312640833,73,25
china,5.899999992747999,3.5400680990209894,0.2529512421398903,inf,28,16
cuba,19.686976902117415,6.013654365513066,0.35061648783760013,0.13523748726459353,28,37
czech_republic,92.56331423463791,41.396231918496355,1.385957935144937,0.13977123313738354,39,45
denmark,209.50282149121173,49.81011655689916,3.550480119667469,0.14277402587385965,37,40
germany,225.98619754004568,65.89937668338135,4.809327153767427,0.5584549343404076,44,32
ireland,512.7255293755777,196.75741688982075,13.564044174641566,0.17752413658776373,39,26
israel,226.24659266769248,88.11567512821063,3.5717315191723173,0.10758414935611062,37,43
italy,391.9588097043421,177.14066463919323,7.379345079403265,inf,59,36
japan,13.872525431182412,8.219399447741782,0.3510587858651961,0.40596932315804274,68,27
kuwait,832.5036875740227,338.1169585917787,22.026783971052453,0.12775801745665671,74,26
malaysia,25.639828327277492,6.57696309184176,0.37070614968045135,0.09266499587195541,48,47
morocco,23.488421860636176,8.961834953103127,0.40972506755053395,0.20079096750662861,46,39
portugal,351.4291623549815,234.827257124376,4.9317750359396655,0.16201241892817564,57,47
qatar,2657.5916428252644,1200.3471104493658,62.57365535265831,0.165981905290852,75,29
serbia,142.23486826600552,81.87217801469744,2.760189471000203,0.16457571655152017,49,35
singapore,696.2051551125718,350.140055020932,17.364200374178893,0.11897308239487439,81,28
south_korea,23.61580739707385,9.813458527760053,0.43546209239626865,0.10860172829738393,24,46
