country,population,density,land_area,med_age,urb_pop,aged_65_older,aged_70_older,cvd_death_rate,diabetes_prevalence,extreme_poverty,female_smokers,gdp_per_capita,handwashing_facilities,hospital_beds_per_100k,male_smokers,median_age,stringency_index
china,1439323776.0,153.0,9388211.0,38.0,0.61,10.640999999999998,5.928999999999999,261.899,9.74,0.7,1.9,15308.712,,4.34,48.4,38.7,
india,1380004385.0,464.0,2973190.0,28.0,0.35,5.989,3.4139999999999997,282.28,10.39,21.2,1.9,6426.674,59.55,0.53,20.6,28.2,76.07
united_states,331002651.0,36.0,9147420.0,38.0,0.83,15.413,9.732000000000001,151.089,10.79,1.2,19.1,54225.445999999996,,2.77,24.6,38.3,
indonesia,273523615.0,151.0,1811570.0,30.0,0.56,5.319,3.053,342.86400000000003,6.32,5.7,2.8,11188.743999999999,64.204,1.04,76.1,29.3,
pakistan,220892340.0,287.0,770880.0,23.0,0.35,4.495,2.78,423.031,8.35,4.0,2.8,5034.708,59.607,0.6,36.7,23.5,
brazil,212559417.0,25.0,8358140.0,33.0,0.88,8.552,5.06,177.96099999999998,8.11,3.4,10.1,14103.452,,2.2,17.9,33.5,
nigeria,206139589.0,226.0,910770.0,18.0,0.52,2.7510000000000003,1.4469999999999998,181.013,2.42,,0.6,5338.454000000001,41.949,,10.8,18.1,
bangladesh,164689383.0,1265.0,130170.0,28.0,0.39,5.098,3.262,298.003,8.38,14.8,1.0,3523.9840000000004,34.808,0.8,44.7,27.5,
russia,145934462.0,9.0,16376870.0,40.0,0.74,14.177999999999999,9.392999999999999,431.29699999999997,6.18,0.1,23.4,24765.953999999998,,8.05,58.3,39.6,
mexico,128932753.0,66.0,1943950.0,29.0,0.84,6.857,4.321000000000001,152.783,13.06,2.5,6.9,17336.468999999997,87.84700000000001,1.38,21.4,29.3,
japan,126476461.0,347.0,364555.0,48.0,0.92,27.049,18.493,79.37,5.72,,11.2,39002.223,,13.05,33.7,48.2,
ethiopia,114963588.0,115.0,1000000.0,19.0,0.21,3.5260000000000002,2.063,182.63400000000001,7.47,26.7,0.4,1729.9270000000001,7.96,0.3,8.5,19.8,
philippines,109581078.0,368.0,298170.0,26.0,0.47,4.803,2.661,370.43699999999995,7.07,,7.8,7599.188,78.46300000000001,1.0,40.8,25.2,
egypt,102334404.0,103.0,995450.0,25.0,0.43,5.159,2.891,525.432,17.31,1.3,0.2,10550.206,89.82700000000001,1.6,50.1,25.3,
vietnam,97338579.0,314.0,310070.0,32.0,0.38,7.15,4.718,245.465,6.0,2.0,1.0,6171.884,85.84700000000001,2.6,45.9,32.6,
dr_congo,89561403.0,40.0,2267050.0,17.0,0.46,3.02,1.745,318.949,6.1,77.1,,808.133,4.4719999999999995,,,17.0,
turkey,84339067.0,110.0,769630.0,32.0,0.76,8.152999999999999,5.061,171.285,12.13,0.2,14.1,25129.341,,2.81,41.1,31.6,
iran,83992949.0,52.0,1628550.0,32.0,0.76,5.44,3.182,270.308,9.59,0.2,0.8,19082.62,,1.5,21.1,32.4,
germany,83783942.0,240.0,348560.0,46.0,0.76,21.453000000000003,15.957,156.139,8.31,,28.2,45229.245,,8.0,33.1,46.6,
thailand,69799978.0,137.0,510890.0,40.0,0.51,11.373,6.89,109.861,7.04,0.1,1.9,16277.671,90.67,2.1,38.8,40.1,
united_kingdom,67886011.0,281.0,241930.0,40.0,0.83,18.517,12.527000000000001,122.137,4.28,0.2,20.0,39753.244,,2.54,24.7,40.8,
france,65273511.0,119.0,547557.0,42.0,0.82,19.718,13.079,86.06,4.77,,30.1,38605.671,,5.98,35.6,42.0,
italy,60461826.0,206.0,294140.0,47.0,0.69,23.021,16.24,113.15100000000001,4.78,2.0,19.8,35220.084,,3.18,27.8,47.9,
tanzania,59734218.0,67.0,885800.0,18.0,0.37,3.108,1.874,217.28799999999998,5.75,49.1,3.3,2683.304,47.953,0.7,26.7,17.7,
south_africa,59308690.0,49.0,1213090.0,28.0,0.67,5.343999999999999,3.053,200.38,5.52,18.9,8.1,12294.876,43.993,2.32,33.2,27.3,
burma,54409800.0,83.0,653290.0,29.0,0.31,5.732,3.12,202.104,4.61,6.4,6.3,5591.597,79.28699999999999,0.9,35.2,29.1,79.24
kenya,53771296.0,94.0,569140.0,20.0,0.28,2.6860000000000004,1.528,218.637,2.92,36.8,1.2,2993.028,24.651,1.4,20.4,20.0,94.18
south_korea,51269185.0,527.0,97230.0,44.0,0.82,13.914000000000001,8.622,85.99799999999999,6.8,0.2,6.2,35938.373999999996,,12.27,40.9,43.4,
colombia,50882891.0,46.0,1109500.0,31.0,0.8,7.646,4.312,124.24,7.44,4.5,4.7,13254.948999999999,65.38600000000001,1.71,13.5,32.2,
