day,active_cases
0,10.0
1,11.59
2,13.432
3,15.567
4,18.042
5,20.91
6,24.233
7,28.084
8,32.547
9,37.719
10,43.711
11,50.655
12,58.7
13,68.022
14,78.821
15,91.332
16,105.825
17,122.612
18,142.054
19,164.57
20,190.64
21,220.822
22,255.759
23,296.191
24,342.971
25,397.081
26,459.649
27,531.972
28,615.535
29,712.038
30,823.419
31,951.889
32,1099.957
33,1270.464
34,1466.609
35,1691.984
36,1950.595
37,2246.881
38,2585.722
39,2972.43
40,3412.719
41,3912.647
42,4478.519
43,5116.743
44,5833.626
45,6635.108
46,7526.419
47,8511.654
48,9593.28
49,10771.577
50,12044.049
51,13404.84
52,14844.215
53,16348.184
54,17898.344
55,19472.023
56,21042.769
57,22581.242
58,24056.444
59,25437.245
