,confirmed_100k,max_active_100k,max_new_cases_100k,max_tasa_contagio,days_to_max_active,days_20_to_80,density,land_area,med_age,urb_pop,aged_65_older,aged_70_older,cvd_death_rate,diabetes_prevalence,extreme_poverty,gdp_per_capita,handwashing_facilities,hospital_beds_per_100k,male_smokers,stringency_index
australia,27.8,19.2,1.9,0.6923076923076923,26,14,3,7682300,38,0,15,10,107,5,0.0,44648.0,,3,16,
austria,182.1,103.6,14.7,0.6801346801346801,26,18,109,82409,43,0,19,13,145,6,0.0,45436.0,,7,30,56.34
china,5.8,4.0,1.1,548.0,23,12,153,9388211,38,0,10,5,261,9,0.0,15308.0,,4,48,
cuba,16.8,7.5,0.7,0.527027027027027,28,24,106,106440,42,0,14,9,190,8,,,85.198,5,53,
czech_republic,81.7,50.4,3.6,0.5,31,26,139,77240,43,0,19,11,227,6,,32605.906000000006,,6,38,
denmark,193.1,65.6,6.7,1.9325842696629214,31,31,137,42430,42,0,19,12,114,6,0.2,46682.515,,2,18,
finland,117.2,51.7,4.8,1.6551724137931034,33,34,18,303890,43,0,21,13,153,5,,40585.721,,3,22,
germany,213.7,87.0,8.3,0.8943089430894309,36,24,240,348560,46,0,21,15,156,8,,45229.245,,8,33,
ireland,494.0,301.5,30.7,0.9298245614035088,37,22,72,68890,38,0,13,8,126,3,0.2,67335.293,,2,25,
israel,192.7,113.3,13.1,0.9568527918781726,34,22,400,21640,30,0,11,7,93,6,0.5,33132.32,,2,35,
italy,377.1,179.1,10.8,1.576271186440678,56,32,206,294140,47,0,23,16,113,4,2.0,35220.084,,3,27,
japan,13.0,9.4,0.9,0.25588235294117645,66,19,347,364555,48,0,27,18,79,5,,39002.223,,13,33,
malaysia,21.8,8.0,0.7,0.9359605911330049,27,32,99,328550,30,0,6,3,260,16,0.1,26808.164,,1,42,
panama,234.5,161.1,8.6,0.5678391959798995,50,32,58,74340,30,0,7,5,128,8,2.2,22267.037,,2,9,
south_korea,21.7,14.8,1.7,3.8421052631578947,24,23,527,97230,44,0,13,8,85,6,0.2,35938.374,,12,40,43.51
spain,498.4,217.3,20.6,1.449239823442864,52,23,94,498800,45,0,19,13,99,7,1.0,34272.36,,2,31,
switzerland,354.7,165.8,15.3,0.9090909090909091,26,21,219,39516,43,0,18,12,99,5,,57410.166,,4,28,
tunisia,8.9,6.8,0.7,0.5412844036697247,26,21,76,155360,33,0,8,5,318,8,2.0,10849.297,78.687,2,65,
turkey,182.1,95.8,6.1,0.9690721649484536,35,25,110,769630,32,0,8,5,171,12,0.2,25129.341,,2,41,
uzbekistan,8.9,4.1,0.5,0.41237113402061853,23,30,79,425400,28,0,4,2,724,7,,6253.104,,4,24,
