ID;ASESOR;CDUSUARIO;PERFIL;GÉNERO;TIPO DE FAMILIA;FECHA DE NACIMIENTO;EDAD;MOMENTO DE VIDA;NUMERO DE DEPENDIENTES;ESTADO;Valor deuda;Tiene o no tiene deudas;Rango deuda;Cotizacion;CIERRE;FECOTIZACION;AYV;INGRESOS_EMPLEADOS;INGRESOS_INDEPENDIENTE;TOTAL_INGRESOS;GRUPO VALOR;Empleados o Indenpendientes;FUMA;ALCOHOL;ACTIVIDAD_FISICA;TIEMPO_ACTIVIDAD;Cat_Act_Física;USA_MOTO;USA_AUTOMOVIL;USA_BICICLETA;USATRANS_PUBLICO;Movilidad;ALIMENTACION;ESTRES;PESO;ESTATURA;Cine;Cultura;Deporte;Lectura;Mascotas;Musica;Otros;Restaurantes;Tecnologia;Viajes;Total_general
10;16438;16438;Asesor;M;Pareja sin hijos;32093;30,70136986;Adulto Joven 1;NA;COTIZACION;0;No;No tiene;1;0;9/07/2018;S;0;0;0;NA;Independiente;NO;0;SI;4;3;N;NA;NA;NA;NA;Saludable;1;40;158;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10011;13712;JORGINPA;Auxiliar;F;Nuclear;27257;43,95068493;Adulto Joven 2;1;SOLICITUD;2000000;;Entre 2 y 5 SMLVM;1;1;26/04/2018;S;10000000;2000000;12000000;ALTO;Empleado;NO;2;NO;0;0;S;NA;NA;NA;6;Normal;1;72;165;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10012;10557;10557;Asesor;F;Nuclear;34976;22,80273973;Joven;1;COTIZACION;1500000;;Entre 1 y 2 SMLVM;1;0;26/04/2018;S;0;5000000;5000000;ALTO;Independiente;NO;2;SI;2;1;N;NA;NA;NA;NA;Normal;1;78;168;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10016;6886;6886;Asesor;M;Pareja sin hijos;6/06/1978;40,14246575;Adulto Joven 2;NA;SOLICITUD;0;No;No tiene;1;1;26/04/2018;S;0;0;0;NA;Independiente;NO;0;SI;4;3;S;NA;NA;NA;6;Muy Saludable;1;72;168;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10020;11113;11113;Asesor;M;Pareja sin hijos;21004,95833;61,07956621;Adulto;1;COTIZACION;120000;;< 1 SMLVM;1;0;26/04/2018;S;0;1200000;1200000;BAJO;Independiente;NO;0;SI;4;3;N;NA;NA;NA;NA;Normal;1;70;161;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10030;37613;LAURCARU;Auxiliar;M;Solo;35981,95833;20,0466895;Joven;0;COTIZACION;0;No;No tiene;1;0;26/04/2018;S;0;600000;600000;BAJO;Independiente;NO;1;SI;4;3;N;NA;NA;NA;NA;Normal;1;82;178;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10037;12991;12991;Asesor;M;Nuclear;21000;61,09315069;Adulto;0;COTIZACION;0;No;No tiene;1;0;26/04/2018;S;2500000;0;2500000;MEDIO;Empleado;NO;0;SI;1;1;S;NA;NA;NA;6;Saludable;1;58;162;NO;NO;NO;SI;SI;SI;SI;NO;NO;NO;4
10047;20938;20938;Asesor;F;Nuclear;26171,95833;46,92340183;Adulto;0;COTIZACION;0;No;No tiene;1;0;26/04/2018;S;0;7000000;7000000;ALTO;Independiente;NO;2;NO;0;0;S;NA;NA;NA;6;Normal;0;70;172;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10056;29380;29380;Asesor;F;Nuclear;31113;33,38630137;Adulto Joven 1;0;COTIZACION;200000;;< 1 SMLVM;1;0;26/04/2018;S;3000000;0;3000000;MEDIO;Empleado;NO;1;SI;2;1;N;NA;NA;NA;NA;Normal;NA;65;160;SI;NO;SI;NO;NO;NO;NO;NO;NO;SI;3
10058;33765;33765;Asesor;F;Nuclear;32291;30,15890411;Adulto Joven 1;2;COTIZACION;500000;;< 1 SMLVM;1;0;26/04/2018;S;3000000;0;3000000;MEDIO;Empleado;NO;1;SI;4;3;N;NA;NA;NA;NA;Normal;0;65;168;SI;NO;NO;NO;NO;NO;SI;SI;NO;SI;4
10062;29380;29380;Asesor;F;Nuclear;31113;33,38630137;Adulto Joven 1;0;COTIZACION;200000;;< 1 SMLVM;1;0;26/04/2018;S;3000000;0;3000000;MEDIO;Empleado;NO;0;SI;1,5;1;N;S;N;N;2;Normal;1;85;181;SI;NO;SI;NO;NO;NO;NO;NO;NO;SI;3
10065;13966;13966;Asesor;M;Pareja sin hijos;33735,04167;26,20262557;Adulto Joven 1;NA;COTIZACION;0;No;No tiene;1;0;26/04/2018;S;0;0;0;NA;Independiente;NO;2;NO;0;0;S;NA;NA;NA;6;Saludable;2;50;164;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10067;1111;LUISGATR;Auxiliar;F;Pareja sin hijos;34223;24,86575343;Joven;NA;COTIZACION;0;No;No tiene;1;0;26/04/2018;S;0;0;0;NA;Independiente;NO;1;SI;4;3;N;NA;NA;NA;NA;Normal;1;60;160;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10070;1111;CAROTESA;Auxiliar;F;Nuclear;29346,95833;38,22477169;Adulto Joven 2;2;COTIZACION;2000000;;Entre 2 y 5 SMLVM;1;0;26/04/2018;S;7000000;0;7000000;ALTO;Empleado;NO;1;SI;4;3;N;NA;NA;NA;NA;Saludable;0;65;170;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10073;3655;3655;Asesor;M;Pareja sin hijos;29195;38,64109589;Adulto Joven 2;0;SOLICITUD;7000000;;> 5 SMLVM;1;1;26/04/2018;S;18000000;0;18000000;ALTO;Empleado;NO;0;NO;0;0;N;NA;NA;NA;NA;Normal;0;87;160;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10075;3655;3655;Asesor;F;Pareja sin hijos;32143;30,56438356;Adulto Joven 1;NA;SOLICITUD;0;No;No tiene;1;1;26/04/2018;S;0;0;0;NA;Independiente;NO;1;SI;3;2;N;S;N;N;2;Muy Saludable;1;64;163;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
