texture_mean,compactness_mean
16.62,0.05319
22.68,0.133
24.44,0.1552
13.32,0.08834
15.62,0.1069
21.78,0.1131
16.02,0.07943
22.54,0.1483
15.86,0.1535
19.35,0.1125
14.71,0.05743
23.75,0.1768
19.98,0.109
21.54,0.1064
16.4,0.2276
19.86,0.05971
16.58,0.08066
13.66,0.08918
17.39,0.05562
18.29,0.08468
23.94,0.1479
22.29,0.1267
17.25,0.08562
18.52,0.1053
26.47,0.1719
13.9,0.1225
16.32,0.1085
16.62,0.03834
13.9,0.1192
19.65,0.08424
24.89,0.09218
20.25,0.1066
16.54,0.1139
21.56,0.1306
17.94,0.06679
15.6,0.0663
21.41,0.05978
14.45,0.04276
21.48,0.04227
24.81,0.219
13.98,0.1836
18.33,0.1017
22.47,0.05761
15.51,0.1371
20.13,0.1223
25.44,0.1199
13.06,0.03774
15.49,0.07698
22.02,0.07081
14.06,0.1155
19.29,0.08578
17.3,0.07664
19.6,0.0633
28.2,0.04626
15.39,0.06889
32.47,0.113
20.01,0.06722
19.38,0.05616
18.03,0.07838
15.69,0.03515
17.56,0.09713
21.46,0.08348
12.96,0.1111
20.86,0.1739
21.84,0.08642
14.92,0.08155
10.72,0.05969
24.91,0.2665
17.35,0.1076
18.75,0.1138
16.39,0.1807
21.53,0.07849
13.98,0.09242
21.25,0.06945
19.24,0.05326
23.56,0.1606
22.53,0.2225
23.12,0.2413
18.24,0.04751
13.14,0.2204
18.3,0.08165
17.07,0.0363
21.84,0.08259
17.84,0.07057
16.15,0.2146
21.43,0.1402
27.81,0.1074
16.33,0.07255
19.04,0.07722
21.82,0.1932
18.95,0.1147
18.77,0.1802
24.59,0.1206
16.99,0.08404
29.37,0.03558
14.96,0.09097
20.71,0.1319
22.13,0.1273
15.24,0.1339
18.19,0.1325
23.98,0.1496
18.59,0.1304
23.33,0.2004
20.26,0.131
13.08,0.05113
12.35,0.04721
18.8,0.09182
14.34,0.1328
23.95,0.1002
16.95,0.05696
18.22,0.1661
14.07,0.06064
23.04,0.1022
19.34,0.0503
