fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality
10.8,0.32,0.44,1.6,0.063,16.0,37.0,0.9985,3.22,0.78,12.5,6
7.1,0.6,0.0,1.8,0.074,16.0,34.0,0.9972,3.47,0.7,12.4,6
11.1,0.35,0.48,3.1,0.09,5.0,21.0,0.9986,3.17,0.53,13,5
7.7,0.775,0.42,1.9,0.092,8.0,86.0,0.9959,3.23,0.59,12,5
7.1,0.6,0.0,1.8,0.074,16.0,34.0,0.9972,3.47,0.7,12.4,6
8.0,0.57,0.23,3.2,0.073,17.0,119.0,0.99675,3.26,0.57,11.8,5
9.4,0.34,0.37,2.2,0.075,5.0,13.0,0.998,3.22,0.62,11.7,5
6.6,0.695,0.0,2.1,0.075,12.0,56.0,0.9968,3.49,0.67,11.7,5
7.7,0.41,0.76,1.8,0.611,8.0,45.0,0.9968,3.06,1.26,11.9,5
10.0,0.31,0.47,2.6,0.085,14.0,33.0,0.99965,3.36,0.8,13,7
7.9,0.33,0.23,1.7,0.077,18.0,45.0,0.99625,3.29,0.65,11.8,5
7.0,0.975,0.04,2.0,0.087,12.0,67.0,0.99565,3.35,0.6,11.9,4
8.0,0.52,0.03,1.7,0.07,10.0,35.0,0.99575,3.34,0.57,12.5,5
7.9,0.37,0.23,1.8,0.077,23.0,49.0,0.9963,3.28,0.67,11.8,5
12.5,0.56,0.49,2.4,0.064,5.0,27.0,0.9999,3.08,0.87,13.4,5
11.8,0.26,0.52,1.8,0.071,6.0,10.0,0.9968,3.2,0.72,12.7,7
8.1,0.87,0.0,3.3,0.096,26.0,61.0,1.00025,3.6,0.72,12.3,4
7.9,0.35,0.46,3.6,0.078,15.0,37.0,0.9973,3.35,0.86,15.3,8
6.9,0.54,0.04,3.0,0.077,7.0,27.0,0.9987,3.69,0.91,11.9,6
11.5,0.18,0.51,4.0,0.104,4.0,23.0,0.9996,3.28,0.97,12.6,6
7.9,0.545,0.06,4.0,0.087,27.0,61.0,0.9965,3.36,0.67,13.2,6
11.5,0.18,0.51,4.0,0.104,4.0,23.0,0.9996,3.28,0.97,12.6,6
10.9,0.37,0.58,4.0,0.071,17.0,65.0,0.99935,3.22,0.78,12.6,5
8.4,0.715,0.2,2.4,0.076,10.0,38.0,0.99735,3.31,0.64,11.9,5
7.5,0.65,0.18,7.0,0.088,27.0,94.0,0.99915,3.38,0.77,11.9,5
7.9,0.545,0.06,4.0,0.087,27.0,61.0,0.9965,3.36,0.67,13.2,6
6.9,0.54,0.04,3.0,0.077,7.0,27.0,0.9987,3.69,0.91,11.9,6
11.5,0.18,0.51,4.0,0.104,4.0,23.0,0.9996,3.28,0.97,12.6,6
10.3,0.32,0.45,6.4,0.073,5.0,13.0,0.9976,3.23,0.82,15.1,8
8.9,0.4,0.32,5.6,0.087,10.0,47.0,0.9991,3.38,0.77,13,7
11.4,0.26,0.44,3.6,0.071,6.0,19.0,0.9986,3.12,0.82,11.8,6
7.7,0.27,0.68,3.5,0.358,5.0,10.0,0.9972,3.25,1.08,12.4,7
7.6,0.52,0.12,3.0,0.067,12.0,53.0,0.9971,3.36,0.57,11.6,5
8.9,0.4,0.32,5.6,0.087,10.0,47.0,0.9991,3.38,0.77,13,7
9.9,0.59,0.07,3.4,0.102,32.0,71.0,1.00015,3.31,0.71,12.3,5
9.9,0.59,0.07,3.4,0.102,32.0,71.0,1.00015,3.31,0.71,12.3,5
